Unnamed: 0,manoeuvres_01_paddling,manoeuvres_02_drop,manoeuvres_03_straight_ahead,manoeuvres_04_wall_riding,manoeuvres_05_floater,manoeuvres_06_cut_back,manoeuvres_07_rasgada,manoeuvres_08_off_the_lip,manoeuvres_09_tube,manoeuvres_10_air,surfer_experience
0,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Avançado
1,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Aprendiz
2,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,As vezes eu consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
4,Sempre consigo,Consigo normalmente,Não sei,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
5,Sempre consigo,Consigo normalmente,Consigo normalmente,Sempre consigo,Consigo normalmente,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,Ainda não consigo,Avançado
6,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
7,Consigo normalmente,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Não sei,Intermediário
8,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,As vezes eu consigo,Avançado
9,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
10,Consigo normalmente,As vezes eu consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Intermediário
11,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,Sempre consigo,As vezes eu consigo,Ainda não consigo,Avançado
12,Sempre consigo,Sempre consigo,,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,,Avançado
13,Sempre consigo,Consigo normalmente,As vezes eu consigo,Sempre consigo,As vezes eu consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Intermediário
14,Sempre consigo,Sempre consigo,Não sei,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Não sei,Intermediário
15,Consigo normalmente,Não sei,Consigo normalmente,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Iniciante
16,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,,Avançado
17,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,Ainda não consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
19,Consigo normalmente,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
20,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
21,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Avançado
22,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Avançado
23,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
24,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Aprendiz
25,Sempre consigo,Consigo normalmente,Não sei,,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
26,Consigo normalmente,Consigo normalmente,,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
27,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Aprendiz
28,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
29,Consigo normalmente,Consigo normalmente,,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Profissional
30,Consigo normalmente,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Não sei,Avançado
31,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Avançado
34,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,Avançado
35,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Não sei,Não sei,Intermediário
36,Sempre consigo,Consigo normalmente,Sempre consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Iniciante
37,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Intermediário
38,Sempre consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Iniciante
39,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Ainda não consigo,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Iniciante
40,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Intermediário
41,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
42,Sempre consigo,As vezes eu consigo,Consigo normalmente,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Iniciante
43,Sempre consigo,Consigo normalmente,Consigo normalmente,Consigo normalmente,Ainda não consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
44,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,Avançado
